abstract	class
abstract malnutrition from the last week of gestation resulted in significant diminution in weight and total protein content of cerebral cortex of 12- and 24-day-old rats. in synaptosomal fractions from cerebral cortices of 24-day-old malnourished rats the recovery of protein and of acetylcholinesterase and choline acetyltransferase activity per gram of fresh tissue was higher than in the controls. quantitative morphologic studies showed no difference in the composition of synaptosomal fractions from malnourished and control rats. the higher yield in protein. ache and chac of synaptosome fractions may indicate that presynaptic endings are relatively spared by perinatal malnutrition, however, the possibility that these results are due to an altered distribution of the presynaptic endings among the various subcellular fractions cannot be ruled out.	biology
depuis on a signale dans differents pays europeens l'existence d'une resistance de varroa jacobsoni aux pyrethrinoides. afin de localiser les regions ou l'acarien est devenu resistant, on a entrepris en europe des etudes de surveillance en et a l'aide du test de laboratoire decrit par milani [13]. des echantillons d'acariens vivants ont ete preleves et leur sensibilite au τ-fluvalinate analysee. les acariens ont ete laisses en contact avec des concentrations connues de τ-fluvalinate dans de la paraffine durant h et la mortalite a et h a ete enregistree. les acariens sensibles provenant des differents pays europeens ont presente la meme sensibilite au τ-fluvalinate et les souches resistantes des diverses regions, le meme niveau de sensibilite reduite (figure i). une correlation significative a ete montree entre l'efficacite au champ de l'apistan® et l'efficacite du test la baloratoire. la sensibilite du test de laboratoire a ete plus forte que celle des essais au champ (figure 2). la figure donne les regions ou la resistance aux pyrethrinoides a ete decelee. il semble qu'une souche resistante se soit creee en italie puis etendue a la slovenie, la suisse, la france, la belgique et l'autriche.	biology
introduction the hepatitis b virus (hbv) genome contains four orfs, s (surface), p (polymerase), c (core) and x. s is completely overlapped by p and as a consequence the overlapping region is subject to distinctive evolutionary constraints compared to the remainder of the genome. specifically, a non-synonymous substitution in one coding frame may produce a synonymous substitution in the alternative frame, suggesting a possible conflict between requirements for diversifying and purifying forces. to examine how these contrasting requirements are balanced within this region, we investigated the relationship amongst positive selection sites, conserved regions, epitopes and elements of protein structure to consider how hbv balances the contrasting evolutionary pressures. methodology/results hbv genotype d genome sequences were collected and analyzed to identify sites under positive selection and highly conserved regions. epitopes sequences were retrieved from previously published experimental studies stored in the immune epitope database. predicted secondary structures were used to investigate the association between structure and conservation. entropy was used as a measure of conservation and bivariate logistic regression was used to investigate the relationship between positive selection/conserved sites and epitope/secondary structure regions. our results indicate: (i) conservation in s is primarily dictated by α-helix elements in the protein structure, (ii) variable residues are mainly located in pres, the major hydrophilic region (mhr) and the c-terminus, (iii) epitopes in s, which are directly targeted by the host immune system, are significantly associated with sites under positive selection. conclusions the highly variable spacer domain in p, which corresponds to pres in s, appears to act as a harbor for the accumulation of mutations that can provide flexibility for conformational changes and responding to immune pressure.	biology
five mutants defective in tolerance toward a high concentration of nacl (10%), kcl (10%), and glucose (60 %) in zygosaccharomyces rouxii were isolated. these mutants were divided into two recessive and two dominant classes designated sat1, sat2, sat3, and sat4. the sat1 and sat3 mutants are defective in nacl tolerance, but have kcl and glucose tolerance. the sat2 and sat4 mutants are sensitive for these three substances in a certain concentration. these facts suggest that there are two different mechanisms for the salt and glucose tolerances.	biology
the hiv-1 envelope glycoprotein gp120 interacts consecutively with cd4 and the ccr5 coreceptor to mediate the entry of certain hiv-1 strains into target cells. acidic residues and sulfotyrosines in the amino-terminal domain (nt) of ccr5 are crucial for viral fusion and entry. we tested the binding of a panel of ccr5 nt peptides to different soluble gp120/cd4 complexes and anti-ccr5 mabs. the tyrosine residues in the peptides were sulfated, phosphorylated, or unmodified. none of the gp120/cd4 complexes associated with peptides containing unmodified or phosphorylated tyrosines. the gp120/cd4 complexes containing envelope glycoproteins from isolates that use ccr5 as a coreceptor associated with nt peptides containing sulfotyrosines but not with peptides containing sulfotyrosines in scrambled nt sequences. finally, only peptides containing sulfotyrosines inhibited the entry of an r5 isolate. our data show that proper posttranslational modification of the ccr5 nt is required for gp120 binding and viral entry. more importantly, the nt domain determines the specificity of the interaction between ccr5 and gp120s from isolates that use this coreceptor.	biology
object the receptor for advanced glycation end products (rage) may play an important role in inflammatory processes and endothelial activation, likely to accelerate the processes of atherosclerosis, especially in patients with diabetes. the factors that regulate the expression of rage are not completely clear. c-reactive protein (crp) is identified as a key proinflammatory cytokine in patients with atherosclerosis. atherosclerosis also induces reduction and dysfunction of endothelial progenitor cells (epcs), a main cell type for vascular repair. therefore, we tested the hypothesis that crp can regulate rage expression and alter antioxidant defenses in epcs. methods and results epcs, isolated from bone marrow, were cultured in the absence or presence of lipopolysaccharide-free crp (5, and microg/ml). rage protein expression was measured by flow cytometric analysis and western blot. rage messenger rna expression was detected by polymerase chain reaction. reactive oxygen species (ros) were analyzed using the ros assay kit. a spectrophotometer was used to assess superoxide dismutase and glutathione peroxidase activity, and polymerase chain reaction was used to test messenger rna expression of superoxide dismutase and glutathione peroxidase. apoptosis was evaluated by annexin v immunostaining. coculturing with crp caused a significant upregulate expression of rage in epcs, increased ros production, altered antioxidant defenses, and induced epc apoptosis. in addition, these effects were attenuated during blocking rage protein expression by small interfering rna. conclusions crp at concentrations known to predict cardiovascular event may serve to impair epc antioxidant defenses for upregulating the expression of rage and promote epc sensitivity toward oxidative stress-mediated apoptosis. these data further support a direct role of crp in the development and/or progression of atherosclerosis.	biology
growth of a cloned strain of hamster kidney cells in suspended cultures and their susceptibility to the virus of foot-and-mouth disease	biology
this article reports the first preparation of miniantibodies to azospirillum brasilense sp245 surface antigens by using a combinatorial phage library of sheep antibodies. the prepared phage antibodies were used for the first time for lipopolysaccharide and flagellin detection by dot assay, electro-optical analysis of cell suspensions, and transmission electron microscopy. interaction of a. brasilense sp245 with antilipopolysaccharide and antiflagellin phage-displayed miniantibodies caused the magnitude of the electro-optical signal to change considerably. the electro-optical results were in good agreement with the electron microscopic data. this is the first reported possibility of employing phage-displayed miniantibodies in bacterial detection aided by electro-optical analysis of cell suspensions.	biology
abstract abdim’s storks ciconia abdimii were studied in a post-breeding staging area dominated by sahelian grasslands in southeastern niger. in late september a total of 5,763 birds was recorded on systematic transect counts. the estimated density was 5.66 per km2, equivalent to a total of c. 17,000 abdim’s stork within the utilized area of 3,000 km2. a high percentage of juveniles in the flocks in late august, when the nigerien breeding population is still at their nests, indicate a southern origin of the birds. the storks probably make northward post-breeding movements into the sahel to feed on locally abundant food supplies, first of all senegalese grasshopper oedaleus senegalensis, the dominant grasshopper species in the area. the mean density of oedaleus in late september was 11.2 per m2 (6.7 g fresh weight/m2). storks feeding on grasshoppers made on average 5.6 successful pecks per min during their first h of daily feeding, enabling them to fulfil 95% of their daily energy requirements wi...	biology
test errors are much greater than usually thought and their investigation requires good statistical design. analysis of variance of blind randomized trials is especially valuable. for representative selections of tests currently used in bacterial taxonomy and identification, the discrepancies within one laboratory are usually less than 4%; with care they can be reduced to 2% or less. between-laboratory variation is much greater; discrepancies of about 8% are usual under routine conditions, and even 15% is common. the effect of errors on identification is due to (a) error in the reference descriptions of taxa, (b) error in the description of the unknown strain to be identified. simultaneous polythetic methods (e.g., using matching coefficients or analogues of these) are robust to both types of error, and misidentifications are usually minor in degree, i.e., the unknown is allocated to a taxon close to the correct one. the rate of failure is expected to be greatest when the reference descriptions are based on the tightest clusters. sequential identification methods are especially sensitive to errors because the unknown may then be allocated to a taxon far from the correct one. monothetic sequential keys are sensitive to errors of type (b), whereas type (a) error is usually screened out during construction of the key.	biology
inner centromere protein (incenp) and centromere protein e (cenpe) are two functionally important proteins of the higher eukaryotic centromere. using a mouse incenp genomic dna and a mouse cenpe cdna to analyze recombinant inbred mouse sets, as well as interspecific backcross panels, we have mapped these genes to the proximal regions of mouse chromosomes and respectively. comparison of cenpe and human cenpe, which maps to chromosome region 4q24→q25, has further identified a new region of homology between the two species.	biology
leptin can enhance thymopoiesis and modulate the t-cell immune response. however, it remains controversial whether these effects correlate with the expression of leptin receptor, obr. we herein addressed this issue by using in vivo animal models and in vitro culture systems. leptin treatment in both ob/ob mice and normal young mice induced increases of cd4 sp thymocytes in thymus and cd4 t cells in the periphery. interestingly, expression of the long form obr was significantly restricted to dn, dp and cd4 sp, but not cd8 sp thymocytes. moreover, in the reaggregated dp thymocyte cultures with leptin plus tscs, leptin profoundly induced differentiation of cd4 sp but not cd8 sp thymocytes, suggesting that the effects of leptin on thymocyte differentiation might be closely related to the expression of leptin receptor in developing thymocytes. surprisingly, obr expression was markedly higher in peripheral cd4 t cells than that in cd8 t cells. furthermore, leptin treatment with or without il-2 and pha had preferential effects on cell proliferation of cd4 t cells compared to that of cd8 t cells. collectively, these data provide evidence that the effects of leptin on differentiation and proliferation of cd4 t cells might be closely related to the expression of leptin receptor.	biology
the ridgetail white prawn exopalaemon carinicauda is one of the most important commercial species in eastern china. however, little information of immune genes in e. carinicauda has been reported. to identify distinctive genes associated with immunity, an expressed sequence tag (est) library was constructed from hemocytes of e. carinicauda. a total of clones were sequenced, yielding ests and the average sequence length is bp. the cluster and assembly analysis yielded unique sequences including contigs and singletons. blast analysis identified (56.3%) of the unique sequences as orthologs of genes from other organisms (e-value < 1e-5). based on the cog and gene ontology (go), unique sequences were classified. through comparison with previous studies, genes assembled from ests have been identified as possibly involved in defense or immune functions. these genes are categorized into seven categories according to their putative functions in shrimp immune system: antimicrobial peptides, prophenoloxidase activating system, antioxidant defense systems, chaperone proteins, clottable proteins, pattern recognition receptors and other immune-related genes. according to est abundance, the major immune-related genes were thioredoxin (141, 4.94% of all ests) and calmodulin (14, 0.49% of all ests). the est sequences of e. carinicauda hemocytes provide important information of the immune system and lay the groundwork for development of molecular markers related to disease resistance in prawn species.	biology
proceedings: aacr annual meeting 2014; april 5-9, 2014; san diego, cametastasis of cancer cells to distant sites leads to poor prognosis and comprises approximately 90% of cancer mortalities. it is evident that metastasis requires resistance to anoikis, an apoptotic program induced by detachment from the extracellular matrix. heat shock proteins (hsps) are molecular chaperones whose major functions include protein folding and suppression of apoptosis, and are transcriptionally regulated by heat shock transcription factor-1 (hsf1). hsf1 has been linked to metastasis and promotes anchorage-independent proliferation of breast cancer cells. hsp60 is a chaperone found in both the mitochondria and cytosol and is linked to metastasis and regulation of tumor cell apoptosis. to investigate whether hsf1 and hsp60 are necessary for anoikis resistance, anchorage-dependent lung carcinoma (a549, h460) and normal lung epithelial (beas-2b) cells were suspended by plating on poly-2-hydroxyethyl-methacrylate-coated culture dishes. anoikis induction was measured by executioner caspase-7 cleavage and parp cleavage by western blot. protein expression was measured by western blot. small-interfering rnas were used to inhibit hsf1 and hsp60. we show here that upon detachment for 24-48h, lung cancer cells resisted caspase-dependent anoikis in contrast to normal lung epithelial cells, with a549 cells showing the highest level of anoikis resistance. after 24h detachment there was increased phosphorylation of hsf1 on activating serine in lung cancer cells. antisense inhibition of hsf1 and hsp60 in attached lung cancer cells had minimal effects on caspase-7 and parp cleavage. in contrast, hsf1 and hsp60 knockdown in cancer cells that were suspended for 24-48h initiated caspase-dependent anoikis. furthermore, knockdown of hsf1 resulted in inhibition of hsp72, hsp40, and hsp27. hsp60 was not significantly inhibited with loss of hsf1. this data suggests that hsf1 and hsp60 are necessary for lung carcinoma anoikis resistance. our work adds to evidence suggesting hsf1 and hsp60 are promising therapeutic targets for metastasis prevention. although more detailed mechanistic evaluation is necessary, a therapeutic approach to induce anoikis in circulating tumor cells by modulating hsf1 or hsp60 may be promising.citation format: jack d. carter, suzanne k. murphy. heat shock transcription factor-1 and heat shock protein are important for lung carcinoma anoikis resistance. [abstract]. in: proceedings of the 105th annual meeting of the american association for cancer research; apr 5-9; san diego, ca. philadelphia (pa): aacr; cancer res 2014;74(19 suppl):abstract nr 514. doi:10.1158/1538-7445.am2014-514	biology
the new australian genus australocilliba is closely related to the european cilliba von heyden, the main distinguishing morphological features of the former being the presence of a claw on tarsus i, the extended anterior margin of the female epigynium and the elongate cheliceral digits. two new species, a. kuchtaorum and a. hallidayi, are described.	biology
immuno-enzyme histochemical investigations showed that, in the magnocellular hypothalamo-hypophysial neurosecretory system of the rat, vasopressin and oxytocin are synthetized in separate neurons. both the vasopressin neurons and the oxytocin neurons are present in both the supraoptic and the paraventricular nuclei in about the same number. preferential location of the two kinds of rat neurosecretory neurons is not as obvious as in the bovine hypothalamus. their perikarya do not show distinct morphological differences. the two kinds of neurosecretory perikarya are the origin of separate vasopressin-containing and oxytocin-containing axons respectively. in the neural lobe, the distribution of the two different types of axons is described.	biology
. an extract vaccine against vibrio anguillarum was compared with other vaccine preparations when administered to rainbow trout intraperitoneally or orally on food. intraperitoneal vaccination resulted in virtually 100% protection within two weeks whereas oral vaccination gave a maximum protection of 50–70% after eight weeks. when administered intraperitoneally the extract performed better than formalin killed cells but when administered orally formalin killed cells were better. the addition of alum as adjuvant enhanced the response to antigen administered by both routes. serum agglutinin litres after oral vaccination were low and variable but after intraperitoneal injection they reached a consistent peak of 64. as the response to oral vaccination was so low it was not possible to relate agglutinin titre to protection in a quantitative relationship.	biology
we all depend on molecular oxygen and heme for our life, as evident from the pigments in blood and daily wastes. about 80% of serum bilirubin is derived from hemoglobin of senescent erythrocytes, w...	biology
prey distribution, patch size, and the presence of conspecifics are important factors influencing a predator’s feeding tactics, including the decision to feed individually or socially. little is known about group behaviour in seabirds as they spend most of their lives in the marine environment where it is difficult to observe their foraging activities. in this study, we report on at-sea foraging associations of little penguins (eudyptula minor) during the breeding season. individuals could be categorised as (1) not associating; (2) associating when departing from and/or returning to the colony; or (3) at sea when travelling, diving or performing synchronised dives. out of separate foraging tracks, (69.0%) involved associations with conspecifics. furthermore, in a total of (46.4%), individuals were found to dive during association and in (38.1%), individuals were found to exhibit synchronous diving. these behaviours suggest little penguins forage in groups, could synchronise their underwater movements and potentially cooperate to concentrate their small schooling prey.	biology
a b s t r a c t the flowers of amyema miquelei and a. miraculosum are protandrous and pollinated by birds. their dry-type stigmatic surface is composed of unicellular papillae. at the male phase, these papillae are constricted with rugulose surfaces. during the transition to the female (pollen receptive) phase these cells expand, almost doubling in width while their surface becomes much smoother. beneath the thin proteinaceous pellicle, the papillar wall consists of an extraordinarily thick bi-layered cuticle overlying the primary wall. the two layers of the cuticle are stained by lipid dyes, but are distinguished by their different responses to other cytochemical tests. the reaction product for the enzyme esterase is present within crenulations on the papillar surface in small amounts, and in dense deposits in the cuticular clefts at the base between papillae. not surprisingly, pollen tubes are unable to penetrate the thick papillar cap and enter the style through these clefts. the unusual thickness of the cuticle is interpreted as an adaptive response	biology
heat tolerant fungi are organisms that may perform bioconversion processes and produce industrially important metabolites. they may either be obligate thermophiles or simple thermotolerants. the present document is the continuation of a critical note on thermotolerant fungi erroneously reported in the literature as possessing thermophilic attributes. fifty strictly thermotolerant taxa are here considered. some of their binomials have only recently been introduced in the scientific literature. the reported thermotolerant species are grouped according to broad taxonomic categories. the nomenclature of zygomycetous taxa and anamorphic fungi is straightforward, as usually only one binomial is available or only one state is produced in culture respectively. for ascomycetes regularly producing in culture a conidial state, the name of the sexual state (teleomorph) should be used to designate the organism even when a binomial is available for the anamorph; this prevents the practice of interchangeably using the name of either states of the same fungus. when ascomycetous taxa produce the anamorph regularly and the teleomorph only under specific cultural conditions, the name of the anamorph could be preferentially selected. the goal is to introduce uniformity in name citations of fungi, particularly in the literature of applied research. each species is reported under its taxonomically correct name, either the original binomial or the latest combined binomial after generic transfer(s). known synonyms are also specified. maximum efforts were undertaken to trace updated information on the taxonomic position of these fifty strict thermotolerant species. for each, information on the type material, morphological features distinguishing it from related members of the genus (and when necessary a generic taxonomic assessment) and, finally, salient ecological features including heat tolerance levels are given. for some information on their biotechnological use is also provided. overall strictly thermotolerant fungi are so far documented in the corresponding published and present contributions; however, this figure should not be regarded as exhaustive for the group. among these taxa ascomycetous fungi (46) presently outnumber anamorphic microfungi (28) but their relevant figures should be regarded as provisional. only zygomycetous species proved to be strict thermotolerants. further cardinal temperature growth values established for these thermotolerants disclose no pattern linked to their broad taxonomic categories. standardized growth temperature curves at increments smaller than °c have to be performed to assess conclusively variability in growth temperature relationships. several heat tolerant fungi are widely used in industry; however, more research is needed to explore the applied potential of these particular organisms. an exhaustive document on the biodiversity of heat tolerant fungi also awaits production. it would be informative in relation to the global warming process of the earth.	biology
summary glial cells are crucial regulators of synapse formation, elimination, and plasticity [1, 2]. in vitro studies have begun to identify glial-derived synaptogenic factors [1], but neuron-glia signaling events during synapse formation in vivo remain poorly defined. the coordinated development of pre- and postsynaptic compartments at the drosophila neuromuscular junction (nmj) depends on a muscle-secreted retrograde signal, the tgf-β/bmp glass bottom boat (gbb) [3, 4]. muscle-derived gbb activates the tgf-β receptors wishful thinking (wit) and either saxophone (sax) or thick veins (tkv) in motor neurons [3, 4]. this induces phosphorylation of mad (p-mad) in motor neurons, its translocation into the nucleus with a co-smad, and activation of transcriptional programs controlling presynaptic bouton growth [5]. here we show that nmj glia release the tgf-β ligand maverick (mav), which likely activates the muscle activin-type receptor punt to potently modulate gbb-dependent retrograde signaling and synaptic growth. loss of glial mav results in strikingly reduced p-mad at nmjs, decreased gbb transcription in muscle, and in turn reduced muscle-to-motor neuron retrograde tgf-β/bmp signaling. we propose that by controlling gbb release from muscle, glial cells fine tune the ability of motor neurons to extend new synaptic boutons in correlation to muscle growth. our work identifies a novel glia-derived synaptogenic factor by which glia modulate synapse formation in vivo.	biology
during the past decade we and others have shown that bone is a storehouse for growth factors. accordingly, bone contains a number of growth factors including insulin-like growth factors i and ii (igf-i, igf-ii) transforming growth factor (tgf-beta tgf-beta 2), platelet-derived growth factor, basic and acidic fibroblast growth factor, and bone morphogenetic proteins (bmps). osteoblasts have been shown to produce many of these growth factors, which then act in an autocrine and paracrine fashion. the production of these growth factors is regulated by both systemic hormones and local mechanical stress. recent studies on the relative distribution of bone growth factors during different physiologic and pathologic situations indicate that the concentration of bone growth factors is not invariant and provide indirect evidence that growth factors deposited in bone have physiologic significance. in addition, many of these bone growth factors have been shown to increase bone formation either systemically or locally in vivo. based on the past findings, we propose that different growth factors may have a specific role in regulating proliferation and differentiation of different stages of osteoblast lineage cells and play important roles in the local regulation of bone formation.	biology
pichinde virus preparations were investigated for ribosomal components and associated activities. after detergent treatment and fractionation, viral components were assayed for polypeptide synthesis, elongation of nascent polypeptide chains, and mrna activity. it was demonstrated that these subviral particles could synthesize polypeptides when exogenous mrna template, aminoacyl--trnas, translation factors, gtp and appropriate cations were added. undisrupted, whole virions could not synthesize polypeptide; disruption and subsequent centrifugation of subviral ribosomes was a prerequisite for the biosynthetic activity described.	biology
abstract small bioactive peptides, with diverse biological functions, have received increasing attention as physiologically beneficial substances in animal production. the main obstacle to wide application of small bioactive peptides is a lack of cost-effective methods for mass production. in this study, we used glycyl-glutamine (gly-gln) as a test case to develop a novel mass-production method for small bioactive peptides. the oligonucleotide encoding gly-gln pro-peptide (gpp) was designed and synthesized. gpp includes gly-gln dipeptides and enzymatic sites for pepsin and trypase, allowing direct digestion and absorption of gly-gln in the gastrointestinal tract. the gpp oligonucleotides were linked to generate an oligomeric oligonucleotide segment containing tandem copies of gpp. this 12gpp segment was cloned and expressed in escherichia coli vector pet32a. by optimizing culture conditions [0.1 mmol l −1 isopropyl-β-d-thiogalactopyranoside (iptg), μg ml −1 ampicillin (amp), 30°c for h], the thioredoxin fusion peptides reached 40% of total bacterial protein. after purification, the fusion protein was fed to kunming mice to determine its effect on mouse immune function. the results showed that similar to gly-gln dipeptide, gpp polymer protein could significantly suppress the proliferation of t and b lymphocytes in blood and spleen, and additionally could significantly improve interleukin-2 (il-2) and interleukin-6 (il-6) secretion of blood and spleen lymphocytes. these effects were not observed in mice fed a amino acids mix (glycine and glutamine). these evidences indicated that an efficient digestion of gpp polymer protein could be achieved when ingested into the animal gut. the expression system in this study provides a potential production method for not only gly-gln dipeptide but also other short bioactive peptides.	biology
